# Constructed from biom file
#OTU ID	Veggie1	Veggie10	Veggie11	Veggie12	Veggie13	Veggie14	Veggie16	Veggie17	Veggie19	Veggie2	Veggie20	Veggie21	Veggie22	Veggie24	Veggie25	Veggie26	Veggie27	Veggie28	Veggie29	Veggie3	Veggie30	Veggie31	Veggie32	Veggie4	Veggie5	Veggie6	Veggie7	Veggie8
0bcef6115149998ef0737de0512a0b2e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0
46f4121d5eb860ab1dc816d73a61b219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0a0d387b0140dba0a4773a37921a5406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32bbf1df8c987a714e36ecc5e055ca8e	0.0	0.0	102.0	0.0	0.0	0.0	93.0	9.0	0.0	350.0	0.0	0.0	46.0	201.0	417.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	167.0	0.0	1027.0	0.0	18.0
324c895b46a4b865f851ce17a3d928ab	0.0	159.0	357.0	0.0	0.0	0.0	72.0	0.0	0.0	135.0	0.0	0.0	0.0	224.0	468.0	0.0	0.0	0.0	0.0	135.0	0.0	0.0	0.0	170.0	0.0	226.0	0.0	0.0
f9fad0b87f559668707045e70d26afd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
484403ed58bc4ac7cbafe223c55b145d	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a00144968c1ebe683a7132045e0bf002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0
3b2364f2b4bab583d0921cb32913f203	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d05b6e8486419a5239584d29c365abfb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0f939388c63ff5bc01a431a59c02aa8b	208.0	0.0	0.0	21.0	0.0	0.0	0.0	140.0	20.0	0.0	31.0	57.0	0.0	0.0	7.0	0.0	5.0	15.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0
