#isolate.id individual id of the isolate				
#sample.id sample id where the isolate is from				
#medium cultivation medium				
#temp cultivation temperature				
#oxygen conditions of the cultivation				
isolate.id	sample.id	medium	temp	oxygen
AXVR_016.27F	D8	vrbd	37	aerobic
AXVR_017.27F	D8	vrbd	37	aerobic
AXVR_018.27F	D8	vrbd	37	aerobic
AXVR_019.27F	D8	vrbd	37	aerobic
AXVR_020.27F	D8	vrbd	37	aerobic
AXVR_021.27F	D8	vrbd	37	aerobic
AXVR_022.27F	D8	vrbd	37	aerobic
AXVR_024.27F	B6	vrbd	37	aerobic
AXVR_025.27F	A1	vrbd	37	aerobic
AXVR_026.27F	A2	vrbd	37	aerobic
AXVR_027.27F	A4	vrbd	37	aerobic
AXVR_028.27F	A4	vrbd	37	aerobic
AXVR_029.27F	A4	vrbd	37	aerobic
AXVR_030.27F	A4	vrbd	37	aerobic
AXVR_031.27F	A4	vrbd	37	aerobic
AXVR_032.27F	A4	vrbd	37	aerobic
AXVR_033.27F	A8	vrbd	37	aerobic
AXVR_034.27F	A8	vrbd	37	aerobic
AXVR_035.27F	A8	vrbd	37	aerobic
FR_AXB_001.27F	C1	columbia	37	aerobic
FR_AXB_002.27F	C2	columbia	37	aerobic
FR_AXB_003.27F	C2	columbia	37	aerobic
FR_AXB_004.27F	C2	columbia	37	aerobic
FR_AXB_005.27F	C2	columbia	37	aerobic
FR_AXB_006.27F	C2	columbia	37	aerobic
FR_AXB_007.27F	C2	columbia	37	aerobic
FR_AXB_008.27F	C2	columbia	37	aerobic
FR_AXB_009.27F	C3	columbia	37	aerobic
FR_AXB_010.27F	C3	columbia	37	aerobic
FR_AXB_011.27F	C3	columbia	37	aerobic
FR_AXB_012.27F	C3	columbia	37	aerobic
FR_AXB_013.27F	C3	columbia	37	aerobic
FR_AXB_013a.27F	NA	columbia	37	aerobic
FR_AXB_014.27F	C4	columbia	37	aerobic
FR_AXB_015.27F	C4	columbia	37	aerobic
FR_AXB_016.27F	C4	columbia	37	aerobic
FR_AXB_017.27F	C4	columbia	37	aerobic
FR_AXB_018.27F	C4	columbia	37	aerobic
FR_AXB_019.27F	C4	columbia	37	aerobic
FR_AXB_020.27F	C4	columbia	37	aerobic
FR_AXB_021.27F	C4	columbia	37	aerobic
FR_AXB_022.27F	C6	columbia	37	aerobic
FR_AXB_023.27F	C6	columbia	37	aerobic
FR_AXB_024.27F	B1	columbia	37	aerobic
FR_AXB_025.27F	B1	columbia	37	aerobic
1.27F	A1	nutrient	25	aerobic
2.27F	A1	tsa	25	aerobic
3.27F	A1	mrs	25	aerobic
4.27F	A2	tsa	25	aerobic
5.27F	A2	gsp	25	aerobic
6.27F	A3	tsa	25	aerobic
7.27F	A4	nutrient	25	aerobic
